,runtime_graphshapiq,budget,n_players,mse_KernelSHAPIQ,runtime_KernelSHAPIQ,mse_SVARMIQ,runtime_SVARMIQ,mse_InconsistentKernelSHAPIQ,runtime_InconsistentKernelSHAPIQ,mse_SHAPIQ,runtime_SHAPIQ,mse_PermutationSamplingSII,runtime_PermutationSamplingSII,mse_L_Shapley,runtime_L_Shapley
237,3.4488887786865234,9598.0,31.0,0.14905668918976328,3.1568045616149902,0.03220567074108111,3.800950288772583,0.14167071736627207,3.3890583515167236,0.05171352778456734,2.5287489891052246,0.026885032819976326,1.921797275543213,7.287088677733186,0.7497835159301758
238,2.0424447059631348,5455.0,29.0,0.055994348848898444,1.7370691299438477,0.01254467117825187,2.1435952186584473,0.05535420646199196,1.8688316345214844,0.14966014940256828,1.282435417175293,0.030691118018381883,0.8286335468292236,1.7616753178054654,0.3956611156463623
241,1.9985768795013428,6189.0,33.0,0.05600898520239302,1.9507052898406982,0.06484721473440393,2.629955768585205,0.05512629168827193,2.094320774078369,0.11588920903160937,1.492079734802246,0.04576994126881631,1.1015329360961914,6.117893977825187,0.3594024181365967
244,2.9616236686706543,8508.0,34.0,0.1861012268878686,3.076889991760254,0.061662357556602515,3.7967123985290527,0.20819433271763071,3.0253641605377197,0.11955407648475584,2.0035247802734375,0.05751556866402116,1.4252216815948486,9.431837605303492,0.7597849369049072
247,1.9824905395507812,5423.0,20.0,0.027037192795860438,1.2886555194854736,0.010460579364750176,1.4459013938903809,0.030864549551348694,1.5458009243011475,0.02686198041373457,1.168365240097046,0.03873145770366052,0.8023288249969482,3.8190225326606146,0.1952052116394043
250,2.2832226753234863,6980.0,26.0,0.060439744817886665,2.0199990272521973,0.04078764996872119,2.2072246074676514,0.07188060773319224,2.222154378890991,0.09232568098600756,1.3851604461669922,0.06115228248653109,1.2283670902252197,11.838360473499355,0.40574169158935547
254,1.3481667041778564,3966.0,21.0,0.04064277981663867,0.9766826629638672,0.026007352465804823,1.1236495971679688,0.02996157983489646,1.1471970081329346,0.041273404006183796,0.7529711723327637,0.10084101499277733,0.5716946125030518,4.374758000208245,0.17970609664916992
256,2.0763206481933594,5487.0,21.0,0.053383427616776176,1.44087553024292,0.016455572974786534,1.4951727390289307,0.06864915518121142,1.512054204940796,0.01859597919369359,1.1826732158660889,0.021626385060155604,0.794055700302124,2.7906720982615343,0.2322685718536377
257,1.0877561569213867,2991.0,20.0,0.10184886694930559,0.707714319229126,0.03452256128671125,0.8417727947235107,0.07554465650194049,0.7377619743347168,0.1589583947922179,0.5456929206848145,0.07936385182955558,0.426058292388916,6.331269967631277,0.2465367317199707
261,2.982635974884033,9116.0,32.0,0.03437105640964506,2.9993810653686523,0.05208551205820135,3.633918523788452,0.04792945401046478,3.1476409435272217,0.14709492409009942,2.065537214279175,0.059298473004361744,1.6238799095153809,13.835657675460716,0.5821480751037598
262,1.695152997970581,4911.0,22.0,0.016531560758618703,1.3509552478790283,0.008972558148025453,1.350398302078247,0.03683521744319728,1.2192442417144775,0.1136405031029909,0.9897580146789551,0.016601300106458397,0.6590640544891357,1.9253786246357725,0.17998480796813965
263,2.9532065391540527,8173.0,33.0,0.0828289121075054,2.8617191314697266,0.03244165028706342,3.4702539443969727,0.12885565949358932,2.8857593536376953,0.0779725309961658,1.917661428451538,0.03182234433054587,1.4135832786560059,5.473004539987905,0.5991842746734619
264,2.614928722381592,7693.0,29.0,0.05803434908501753,2.544607400894165,0.04122639731248851,2.8541574478149414,0.055628426552296814,2.4640309810638428,0.14528096549706818,1.7509901523590088,0.05464996898902881,1.4385547637939453,4.832352372640923,0.42891740798950195
265,1.0304462909698486,2802.0,24.0,0.14790443567507974,0.7605633735656738,0.015493781416774256,1.0039966106414795,0.09271772113483243,0.7919778823852539,0.1296258669907341,0.5657010078430176,0.05065226233852644,0.5215821266174316,2.289885282471434,0.20354318618774414
